Filename,C:/Users/Nox.workstation/Desktop/Analysis/Xana/Data12\190725_Sens30_unamp_1.avi
Frames per second,30.0,Seconds per frame,0.03333333333333333,Fly box size,100x100 pixels,Arena center,"(0, 0)"
Arena diameter pixels,1197,Arena diameter in millimeters,30,Arena top left,"(1, 1)"
,,pixels,pixels,pixeis sum,pixeis sum,pixels/frame,pixels/frame,pixeis avg,pixels/frame,pixels/frame,degrees,degrees,degrees,pixels,,millimeters,millimeters,millimeters/frame,millimeters/frame,millimeters/frame,millimeters/frame,millimeters,pixels,pixels
frame,seconds,x,y,motion,motion acceleration,velocity,acceleration,LED,velocity vector x,velocity vector y,velocity angle,angular velocity,angle to the arena center,distance to the arena center,,x,y,velocity,acceleration,velocity vector x,velocity vector y,distance to the arena center,x in relation to the arena,y in relation to the arena
41.0,1.3666666666666667,1007,375,693,-2952,0.0,-4.4721359549995796,137,0,0,0.0,1.2845382690429688,20.42,1074.56,,1007.0,375.0,0.0,-4.4721359549995796,0.0,0.0,1074.56,1006,374
42.0,1.4,1006,376,939,246,1.4142135623730951,1.4142135623730951,138,-1,1,225.0,0.7919921875,20.49,1073.97,,1006.0,376.0,1.4142135623730951,1.4142135623730951,-1.0,1.0,1073.97,1005,375
43.0,1.4333333333333333,1006,376,117,-822,0.0,-1.4142135623730951,137,0,0,0.0,0.23047637939453125,20.49,1073.97,,1006.0,376.0,0.0,-1.4142135623730951,0.0,0.0,1073.97,1005,375
44.0,1.4666666666666666,1005,376,267,150,1.0,1.0,137,-1,0,180.0,1.67706298828125,20.51,1073.03,,1005.0,376.0,1.0,1.0,-1.0,0.0,1073.03,1004,375
45.0,1.5,1005,376,0,-267,0.0,-1.0,138,0,0,0.0,0.16565704345703125,20.51,1073.03,,1005.0,376.0,0.0,-1.0,0.0,0.0,1073.03,1004,375
46.0,1.5333333333333332,1003,376,2220,2220,2.0,2.0,137,-2,0,180.0,3.6216278076171875,20.55,1071.16,,1003.0,376.0,2.0,2.0,-2.0,0.0,1071.16,1002,375
47.0,1.5666666666666667,1002,377,5352,3132,1.4142135623730951,-0.58578643762690485,137,-1,1,225.0,14.939865112304688,20.62,1070.58,,1002.0,377.0,1.4142135623730951,-0.58578643762690485,-1.0,1.0,1070.58,1001,376
48.0,1.6,1001,377,5559,207,1.0,-0.41421356237309515,137,-1,0,180.0,17.729286193847656,20.64,1069.64,,1001.0,377.0,1.0,-0.41421356237309515,-1.0,0.0,1069.64,1000,376
49.0,1.6333333333333333,1001,379,4884,-675,2.0,1.0,137,0,2,270.0,13.65240478515625,20.74,1070.35,,1001.0,379.0,2.0,1.0,0.0,2.0,1070.35,1000,378
50.0,1.6666666666666667,1000,381,3966,-918,2.2360679774997898,0.23606797749978981,137,-1,2,243.434948822922,3.891265869140625,20.86,1070.12,,1000.0,381.0,2.2360679774997898,0.23606797749978981,-1.0,2.0,1070.12,999,380
51.0,1.7,999,385,4848,882,4.1231056256176606,1.8870376481178708,137,-1,4,255.96375653207352,8.377090454101562,21.08,1070.62,,999.0,385.0,4.1231056256176606,1.8870376481178708,-1.0,4.0,1070.62,998,384
52.0,1.7333333333333334,998,391,4977,129,6.0827625302982193,1.9596569046805588,137,-1,6,260.5376777919744,5.8917999267578125,21.39,1071.86,,998.0,391.0,6.0827625302982193,1.9596569046805588,-1.0,6.0,1071.86,997,390
53.0,1.7666666666666666,998,397,4887,-90,6.0,-0.082762530298219339,137,0,6,270.0,5.74951171875,21.69,1074.06,,998.0,397.0,6.0,-0.082762530298219339,0.0,6.0,1074.06,997,396
54.0,1.8,998,403,4254,-633,6.0,0.0,137,0,6,270.0,1.7947540283203125,21.99,1076.3,,998.0,403.0,6.0,0.0,0.0,6.0,1076.3,997,402
55.0,1.8333333333333333,996,409,4986,732,6.324555320336759,0.32455532033675905,137,-2,6,251.565051177078,2.4301605224609375,22.33,1076.71,,996.0,409.0,6.324555320336759,0.32455532033675905,-2.0,6.0,1076.71,995,408
56.0,1.8666666666666667,994,415,5778,792,6.324555320336759,0.0,138,-2,6,251.565051177078,3.3670501708984375,22.66,1077.15,,994.0,415.0,6.324555320336759,0.0,-2.0,6.0,1077.15,993,414
57.0,1.9,992,420,4407,-1371,5.3851648071345037,-0.93939051320225531,138,-2,5,248.19859051364818,2.719879150390625,22.95,1077.25,,992.0,420.0,5.3851648071345037,-0.93939051320225531,-2.0,5.0,1077.25,991,419
58.0,1.9333333333333333,989,425,4683,276,5.8309518948453007,0.445787087710797,137,-3,5,239.03624346792648,1.716903567314148,23.25,1076.45,,989.0,425.0,5.8309518948453007,0.445787087710797,-3.0,5.0,1076.45,988,424
59.0,1.9666666666666666,988,433,4899,216,8.0622577482985491,2.2313058534532484,137,-1,8,262.8749836510982,2.9161282777786255,23.67,1078.72,,988.0,433.0,8.0622577482985491,2.2313058534532484,-1.0,8.0,1078.72,987,432
60.0,2.0,986,441,5574,675,8.2462112512353212,0.18395350293677204,138,-2,8,255.96375653207352,5.832950592041016,24.1,1080.13,,986.0,441.0,8.2462112512353212,0.18395350293677204,-2.0,8.0,1080.13,985,440
